RatingID;Rating;RatingCount;ProductID
172;4.3;4703;B0B1YZ9CB8
173;4.0;1423;B09YLYB9PB
174;4.3;2651;B08CTNJ985
175;5.0;5;B0BP7XLX48
176;3.7;612;B09LHXNZLR
177;4.0;9378;B0B3N8VG24
178;4.1;2685;B08PSVBB2X
179;4.0;9378;B0B3MQXNFB
180;3.3;576;B08XMSKKMM
181;3.8;313;B09L8DT7D6
182;4.1;2957;B00GE55L22
183;4.1;6736;B0162K34H2
184;4.4;13552;B0B8SRZ5SV
185;4.3;5451;B07CWNJLPC
186;4.3;10911;B00NH12R1O
187;4.4;13552;B0B8SSC5D9
188;4.3;2806;B08WKG2MWT
189;3.9;350;B0B466C3G4
190;4.2;30023;B005LJQMZC
191;4.2;4003;B07MDRGHWQ
192;4.1;178817;B07DC4RZPY
193;4.3;7109;B0B15GSPQW
194;3.7;490;B08GJNM9N7
195;4.1;491;B09C6FML9B
196;3.9;61;B0B65MJ45G
197;4.0;9378;B08P9RYPLR
198;4.2;3284;B0B6F8HHR6
199;4.4;7318;B084MZXJN6
200;4.1;789;B08XMG618K
201;4.3;407;B0BCKWZ884
202;3.8;2399;B00GGGOYEK
203;4.4;264;B07ZR4S1G4
204;4.0;839;B09C635BMM
205;4.4;44054;B00GG59HU2
206;4.0;3231;B00RGLI0ZS
207;4.2;64;B09ZPJT8B2
208;3.9;8314;B07HZ2QCGR
209;3.7;2249;B095244Q22
210;3.6;339;B08CKW1KH9
211;4.0;27;B0BLV1GNLN
212;3.5;197;B08RHPDNVV
213;4.5;74977;B00NH13Q8W
214;4.2;8583;B0B8SSZ76F
215;3.8;928;B0841KQR1Z
216;3.8;110;B0B467CCB9
217;4.1;6753;B095JQVC7N
218;4.3;1237;B08PPHFXG3
219;4.4;18872;B06XR9PR5X
220;3.9;356;B09JSW16QD
221;4.2;24269;B07JH1CBGW
222;3.8;425;B09127FZCK
223;4.1;1161;B083GQGT3Z
224;4.1;1508;B09Q8WQ5QJ
225;4.3;7636;B07YZG8PPY
226;3.7;246;B09H39KTTB
227;4.0;479;B08DCVRW98
228;4.2;910;B0718ZN31Q
229;4.1;5626;B0162LYSFS
230;4.3;14184;B07PFJ5VQD
231;4.4;25177;B01J8S6X2I
232;4.3;21252;B09MJ77786
233;4.3;567;B09NNGHG22
234;3.5;466;B07V5YF4ND
235;3.9;61;B0B65P827P
236;4.5;474;B084MZYBTV
237;3.4;431;B097ZQTDVZ
238;4.0;242;B0B5F3YZY4
239;4.0;2905;B09G5TSGXV
240;4.4;12091;B006LW0WDQ
241;4.0;1423;B09YLX91QR
242;4.3;6255;B081FJWN52
243;4.0;1236;B0758F7KK7
244;4.2;1335;B09L835C3V
245;3.8;197;B098TV3L96
246;4.4;28791;B08NCKT9FG
247;3.9;1075;B0B4T6MR8N
248;4.2;29746;B01GGKZ4NU
249;3.9;295;B09BW2GP18
250;4.7;5935;B09WN3SRC7
251;3.6;323;B09B125CFJ
